Flowers	Bees	Individual	Picture	Measurement
Large	Small	17	4561	2.268
Large	Small	24	4569	2.466
Large	Small	11	4555	2.474
Large	Small	13	4557	2.496
Large	Small	16	4560	2.561
Large	Small	4	4548	2.609
Large	Small	6	4550	2.626
Large	Small	1	4658	2.630
Large	Small	20	4565	2.684
Large	Small	6	4663	2.684
Large	Small	14	4558	2.719
Large	Small	10	4554	2.728
Large	Small	7	4551	2.734
Large	Small	2	4546	2.739
Large	Small	9	4553	2.743
Large	Small	8	4552	2.744
Large	Small	1	4545	2.749
Large	Small	22	4567	2.753
Large	Small	25	4570	2.770
Large	Small	21	4566	2.788
Large	Small	18	4562	2.858
Large	Small	5	4549	2.878
Large	Small	3	4547	2.900
Large	Large	5	4671	3.231
Large	Large	2	4668	3.243
Large	Large	16	4533	3.244
Large	Large	22	4541	3.266
Large	Large	17	4534	3.267
Large	Large	7	4522	3.268
Large	Large	9	4524	3.272
Large	Large	23	4542	3.307
Large	Large	6	4521	3.325
Large	Large	15	4532	3.359
Large	Large	11	4528	3.362
Large	Large	14	4531	3.362
Large	Large	25	4544	3.364
Large	Large	12	4529	3.383
Large	Large	10	4525	3.423
Large	Large	24	4543	3.437
Large	Large	8	4523	3.438
Large	Large	18	4535	3.445
Large	Large	13	4672	3.456
Large	Large	1	4667	3.514
Large	Large	4	4670	3.533
Large	Large	3	4669	3.567
Large	Large	21	4540	3.599
Large	Large	20	4539	3.654
Large	Small	21	4610	2.979
Large	Small	17	4606	3.012
Large	Large	19	4538	3.410
Small	Small	19	4564	2.425
Small	Small	23	4568	2.454
Small	Small	12	4601	2.556
Small	Small	2	4675	2.570
Small	Small	15	4559	2.592
Small	Small	18	4607	2.611
Small	Small	3	4660	2.614
Small	Small	7	4664	2.617
Small	Small	19	4608	2.629
Small	Small	15	4604	2.636
Small	Small	11	4600	2.637
Small	Small	24	4613	2.643
Small	Small	12	4556	2.664
Small	Small	22	4611	2.710
Small	Small	8	4665	2.745
Small	Small	10	4599	2.759
Small	Small	13	4602	2.766
Small	Small	16	4605	2.787
Small	Large	24	4594	2.923
Small	Small	9	4666	2.824
Small	Small	5	4662	2.861
Small	Small	25	4614	2.891
Small	Large	25	4595	3.144
Small	Large	9	4579	3.161
Small	Large	4	4574	3.201
Small	Large	19	4589	3.225
Small	Large	23	4593	3.249
Small	Large	13	4583	3.275
Small	Large	8	4578	3.278
Small	Large	17	4587	3.287
Small	Large	5	4575	3.312
Small	Large	14	4584	3.316
Small	Large	22	4592	3.337
Small	Large	20	4590	3.343
Small	Large	6	4576	3.376
Small	Large	18	4588	3.381
Small	Large	12	4582	3.393
Small	Large	2	4572	3.407
Small	Large	1	4571	3.488
Small	Large	15	4585	3.496
Small	Large	10	4580	3.522
Small	Large	21	4591	3.593
Small	Small	20	4609	2.898
Small	Small	23	4612	2.908
Small	Small	4	4661	2.960
Small	Small	14	4603	3.052
Small	Large	11	4581	3.320
Small	Large	3	4573	3.510
Small	Large	7	4577	3.510
Small	Large	16	4586	3.600
