crop	region	year	mean_phylogenetic_distance	max_T	min_T	mean_T	prt	SR/Abundance	AB_100	AB_75	SR_100	SR_75			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP1-Control1	28	8	2	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP1-Control2	25	5	2	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP1-Control3	22	2	1	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP2-Control1	26	11	2	28			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP2-Control2	23	8	2	28			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP2-Control3	20	5	1	28			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP3-Control1	23	1	3	0			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP3-Control2	20	-3	3	0			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP3-Control3	17	-5	2	0			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP4-Control1	32	11	5	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP4-Control2	29	8	4	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP4-Control3	26	5	4	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP5-Control1	35	19	3	1			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP5-Control2	32	16	2	0			
Vicia_faba	Errachidia	2019	 98.60 	28.46	12.32	20.39	18.6	FAP5-Control3	30	13	2	1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP1-Control1	39	2	2	-2			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP1-Control2	42	5	4	0			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP1-Control3	14	-15	4	0			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP2-Control1	24	3	29	-1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP2-Control2	27	6	31	1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP2-Control3	-2	-14	30	1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP3-Control1	139	8	7	-1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP3-Control2	142	11	9	1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP3-Control3	114	-9	8	1			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP4-Control1	17	10	1	0			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP4-Control2	20	13	3	2			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP4-Control3	-9	-7	2	2			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP5-Control1	19	8	1	-2			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP5-Control2	22	11	3	0			
cucurbita_maxima	Errachidia	2019	 96.40 	36.24	18.58	27.41	13.6	FAP5-Control3	-7	-9	2	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP1-Control1	30	7	5	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP1-Control2	30	7	5	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP1-Control3	30	7	5	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP2-Control1	0	0	0	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP2-Control2	0	0	0	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP2-Control3	0	0	0	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP3-Control1	30	6	4	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP3-Control2	30	6	4	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP3-Control3	30	6	4	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP4-Control1	11	4	3	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP4-Control2	11	4	3	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP4-Control3	11	4	3	2			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP5-Control1	7	0	2	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP5-Control2	7	0	2	0			
Cucurbita_pepo	Errachidia	2018	 86.33 	32.42	18.86	28.28	4.4	FAP5-Control3	7	0	2	0			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP1-Control1	-27	-25	1	0			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP1-Control2	-13	-15	-1	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP1-Control3	-25	-31	0	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP2-Control1	-14	-12	2	0			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP2-Control2	-1	-2	1	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP2-Control3	-12	-18	1	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP3-Control1	-36	-26	0	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP3-Control2	-22	-16	-2	-2			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP3-Control3	-34	-32	-1	-2			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP4-Control1	-1	5	3	1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP4-Control2	13	15	2	0			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP4-Control3	1	-1	2	0			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP5-Control1	-13	-8	2	1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP5-Control2	1	2	1	-1			
Cucurbita_pepo	Errachidia	2019	 84.50 	32.42	18.86	28.28	4.4	FAP5-Control3	-11	-14	1	-1			
malus_domestica	Errachidia	2019	 106.00 	28.46	12.32	20.39	18.6	FAP1-Control1	11	1	6	0			
malus_domestica	Errachidia	2019	 106.00 	28.46	12.32	20.39	18.6	FAP1-Control2	11	1	6	0			
malus_domestica	Errachidia	2019	 106.00 	28.46	12.32	20.39	18.6	FAP2-Control1	7	1	3	0			
malus_domestica	Errachidia	2019	 106.00 	28.46	12.32	20.39	18.6	FAP2-Control2	7	1	3	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP1-Control1	0	0	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP1-Control2	2	1	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP1-Control3	0	0	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP2-Control1	5	3	1	1			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP2-Control2	6	4	2	1			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP2-Control3	5	3	1	1			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP3-Control1	3	3	0	1			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP3-Control2	4	4	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP3-Control3	3	3	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP4-Control1	1	2	-1	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP4-Control2	2	2	0	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP4-Control3	1	2	-1	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP5-Control1	1	-1	1	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP5-Control2	2	0	2	0			
Vicia_faba	Kenitra	2018	 85.40 	18.06	6.9	12.48	62.8	FAP5-Control3	1	-1	1	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP1-Control1	49	5	7	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP1-Control2	46	2	6	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP1-Control3	47	5	6	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP2-Control1	28	3	4	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP2-Control2	25	0	3	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP2-Control3	27	3	3	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP3-Control1	12	7	2	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP3-Control2	9	4	2	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP3-Control3	11	7	1	1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP4-Control1	18	2	4	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP4-Control2	15	-2	4	-1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP4-Control3	16	2	4	-1			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP5-Control1	11	3	2	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP5-Control2	8	0	2	0			
Vicia_faba	Kenitra	2019	112.6	20.18	9.02	14.6	73.6	FAP5-Control3	10	3	2	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP1-Control1	26	-4	2	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP1-Control2	25	-3	2	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP1-Control3	29	0	3	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP2-Control1	3	-5	0	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP2-Control2	2	-4	0	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP2-Control3	6	-1	1	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP3-Control1	0	-4	0	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP3-Control2	-1	-3	1	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP3-Control3	3	-1	1	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP4-Control1	15	-4	0	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP4-Control2	14	-3	1	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP4-Control3	18	-1	1	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP5-Control1	24	-2	1	-1			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP5-Control2	23	-1	1	0			
cucurbita_maxima	Kenitra	2019	 94.00 	30.18	18.84	24.51	0.2	FAP5-Control3	26	1	2	0			
Cucurbita_pepo	Kenitra	2018	 117.00 	26.22	14.86	20.54	60	FAP1-Control1	0	-3	0	-1			
Cucurbita_pepo	Kenitra	2018	 117.00 	26.22	14.86	20.54	60	FAP1-Control2	6	2	1	1			
