Species	Flowers	Individual	Flower	Diameter	Depth	Stamen_length	Nectar_(mm_of_microcapillar)	Surface(mm2)
Borago	Large	1	1	29.79	3.51	8.48	NA	3.79
Borago	Large	1	2	33.60	3.88	9.72	NA	3.78
Borago	Large	2	1	27.83	3.27	9.14	NA	3.14
Borago	Large	2	2	28.35	3.48	8.94	NA	3.95
Borago	Large	3	1	29.22	3.52	9.05	NA	3.93
Borago	Large	3	2	30.45	3.66	9.07	NA	3.92
Borago	Large	4	1	28.08	3.47	8.78	NA	3.45
Borago	Large	4	2	28.50	3.34	7.24	NA	3.97
Borago	Large	5	1	27.04	3.96	8.37	NA	4.35
Borago	Large	5	2	29.05	3.44	8.80	NA	4.29
Borago	Large	6	1	29.10	3.09	8.20	NA	3.72
Borago	Large	6	2	28.20	3.36	8.54	NA	4.02
Borago	Large	7	1	28.70	2.70	8.80	NA	3.85
Borago	Large	7	2	27.70	3.70	8.90	NA	3.85
Borago	Large	8	1	29.09	3.83	9.41	NA	3.44
Borago	Large	8	2	28.10	2.96	9.60	NA	3.14
Borago	Large	9	1	29.44	4.29	8.50	NA	4.05
Borago	Large	9	2	29.73	4.44	8.96	NA	3.63
Borago	Large	10	1	28.38	3.46	8.70	NA	3.71
Borago	Large	10	2	30.37	3.55	9.12	NA	3.52
Borago	Large	11	1	28.20	3.95	9.05	NA	3.40
Borago	Large	11	2	29.50	3.70	9.70	NA	3.91
Borago	Large	12	1	29.70	3.30	8.90	NA	3.56
Borago	Large	12	2	25.96	4.50	9.80	NA	3.40
Borago	Large	13	1	30.70	3.20	9.00	NA	3.68
Borago	Large	13	2	31.04	3.78	9.42	NA	3.63
Borago	Large	14	1	30.70	3.20	8.60	NA	3.15
Borago	Large	14	2	25.70	2.50	8.60	NA	3.81
Borago	Large	15	1	29.90	3.70	9.20	NA	3.58
Borago	Large	15	2	31.20	3.20	8.90	NA	3.95
Borago	Small	1	1	27.85	4.08	9.66	16.62	3.03
Borago	Small	1	2	25.84	3.52	9.97	3.53	2.75
Borago	Small	2	1	26.51	3.64	9.18	22.95	3.05
Borago	Small	2	2	24.10	4.10	10.06	27.38	3.09
Borago	Small	3	1	21.51	3.26	7.81	1.28	1.70
Borago	Small	3	2	18.11	3.12	7.17	2.30	1.37
Borago	Small	4	1	24.45	2.93	9.41	27.76	2.34
Borago	Small	4	2	18.77	3.64	9.29	16.44	1.71
Borago	Small	5	1	24.49	3.54	9.34	5.27	2.68
Borago	Small	6	1	23.93	3.70	8.75	9.02	2.67
Borago	Small	6	2	20.02	3.36	6.42	24.79	1.58
Borago	Small	7	1	26.14	3.81	8.75	NA	4.33
Borago	Small	7	2	29.95	3.80	8.16	NA	4.74
Borago	Small	8	1	30.03	3.54	9.24	NA	3.93
Borago	Small	9	1	15.21	3.31	8.59	1.44	2.04
Borago	Small	9	2	16.82	3.10	9.08	0.00	1.88
Borago	Small	10	1	28.32	3.52	8.23	16.37	3.97
Borago	Small	10	2	27.91	2.91	8.09	11.83	3.36
Borago	Small	11	1	25.00	3.73	9.07	53.95	3.53
Borago	Small	11	2	27.03	3.37	9.03	0.63	3.89
Borago	Small	12	1	28.01	3.28	8.54	6.50	3.16
Borago	Small	12	2	26.83	3.12	7.48	NA	NA
Borago	Small	13	1	23.26	2.20	8.37	0.00	2.63
Borago	Small	14	1	22.56	2.90	8.65	4.50	1.88
Borago	Small	14	2	24.41	4.67	7.57	0.00	2.32
Echium	Large	1	1	19.66	12.19	18.74	NA	4.22
Echium	Large	1	2	18.17	12.29	17.88	NA	4.50
Echium	Large	2	1	20.93	15.65	23.60	NA	5.75
Echium	Large	2	2	20.78	15.49	24.92	NA	6.05
Echium	Large	3	1	19.24	11.89	14.30	NA	5.15
Echium	Large	3	2	18.06	14.12	16.30	NA	4.91
Echium	Large	4	1	17.47	15.06	19.03	NA	5.53
Echium	Large	4	2	19.76	14.53	20.31	NA	6.51
Echium	Large	5	1	26.06	15.04	20.77	NA	6.17
Echium	Large	5	2	24.82	13.23	19.70	NA	6.54
Echium	Large	6	1	19.01	13.32	17.70	NA	4.62
Echium	Large	6	2	19.30	13.81	18.24	NA	5.27
Echium	Large	7	1	19.30	13.61	16.66	NA	5.41
Echium	Large	7	2	20.79	13.26	17.02	NA	5.06
Echium	Large	8	1	21.13	14.68	19.78	NA	5.77
Echium	Large	8	2	22.78	15.72	20.10	NA	6.29
Echium	Large	9	1	19.64	13.78	18.99	NA	5.78
Echium	Large	9	2	17.76	11.72	15.66	NA	5.16
Echium	Large	10	1	16.18	10.59	14.27	NA	3.55
Echium	Large	10	2	17.98	14.60	16.30	NA	4.80
Echium	Large	11	1	21.54	10.16	19.16	NA	4.43
Echium	Large	11	2	18.53	11.15	17.84	NA	3.68
Echium	Large	12	1	18.88	12.31	19.19	NA	4.20
Echium	Large	12	2	18.14	12.91	19.91	NA	4.78
Echium	Large	13	1	21.13	14.44	24.26	NA	5.38
Echium	Large	13	2	19.53	14.57	22.25	NA	4.73
Echium	Large	14	1	27.33	17.73	26.3	NA	7.93
Echium	Large	14	2	26.16	18.18	26.83	NA	7.62
Echium	Large	15	1	20.26	12.12	22.27	NA	4.84
Echium	Large	15	2	21.30	13.79	18.07	NA	5.16
