Species	Treatment	Flowers	Bees	Individual	Flower	Fruits	Seeds
Echium	ESL	Small	Large	2	3	0	0
Echium	ESL	Small	Large	2	4	0	0
Echium	ESL	Small	Large	3	3	0	0
Echium	ESL	Small	Large	4	3	0	0
Echium	ESL	Small	Large	4	4	0	0
Echium	ESL	Small	Large	5	4	0	0
Echium	ESL	Small	Large	5	5	0	0
Echium	ESL	Small	Large	6	4	0	0
Echium	ESL	Small	Large	6	5	0	0
Echium	ESL	Small	Large	7	2	0	0
Echium	ESL	Small	Large	9	2	0	0
Echium	ESS	Small	Small	2	4	0	0
Echium	ESS	Small	Small	5	2	0	0
Borago	BSS	Small	Small	1	1	0	0
Borago	BSS	Small	Small	2	1	0	0
Borago	BSS	Small	Small	3	1	0	0
Borago	BSS	Small	Small	4	1	0	0
Borago	BSS	Small	Small	4	2	0	0
Borago	BSS	Small	Small	6	1	0	0
Borago	BSS	Small	Small	6	2	0	0
Borago	BSS	Small	Small	7	1	0	0
Borago	BSS	Small	Small	7	2	0	0
Borago	BSS	Small	Small	8	1	0	0
Borago	BSS	Small	Small	8	2	0	0
Borago	BSS	Small	Small	9	1	0	0
Borago	BSS	Small	Small	9	2	0	0
Borago	BSS	Small	Small	10	1	0	0
Borago	BSL	Small	Large	1	1	0	0
Borago	BSL	Small	Large	2	1	0	0
Borago	BSL	Small	Large	3	1	0	0
Borago	BSL	Small	Large	4	1	0	0
Borago	BSL	Small	Large	5	1	0	0
Borago	BSL	Small	Large	6	1	0	0
Borago	BSL	Small	Large	7	1	0	0
Borago	BSL	Small	Large	8	1	0	0
Borago	BSL	Small	Large	10	1	0	0
Borago	BSL	Small	Large	10	2	0	0
Borago	BSL	Small	Large	11	1	0	0
Borago	BSL	Small	Large	11	2	0	0
Borago	BSL	Small	Large	12	1	0	0
Borago	BSL	Small	Large	12	2	0	0
Echium	ELL	Large	Large	7	3	0	0
Echium	ELL	Large	Large	8	2	0	0
Echium	ELL	Large	Large	9	1	0	0
Echium	ELL	Large	Large	9	4	0	0
Echium	ELL	Large	Large	10	2	0	0
Echium	ESL	Small	Large	10	1	1	1
Echium	ESL	Small	Large	10	2	1	4
Echium	ESL	Small	Large	10	3	1	2
Echium	ESL	Small	Large	10	4	1	1
Echium	ESL	Small	Large	10	5	1	2
Echium	ESL	Small	Large	1	1	1	3
Echium	ESL	Small	Large	1	2	1	1
Echium	ESL	Small	Large	1	3	1	2
Echium	ESL	Small	Large	1	4	1	4
Echium	ESL	Small	Large	1	5	1	2
Echium	ESL	Small	Large	2	1	1	1
Echium	ESL	Small	Large	2	2	1	2
Echium	ESL	Small	Large	2	5	1	2
Echium	ESL	Small	Large	3	1	1	2
Echium	ESL	Small	Large	3	2	1	1
Echium	ESL	Small	Large	3	4	1	2
Echium	ESL	Small	Large	4	1	1	3
Echium	ESL	Small	Large	4	2	1	1
Echium	ESL	Small	Large	5	1	1	2
Echium	ESL	Small	Large	5	2	1	1
Echium	ESL	Small	Large	5	3	1	1
Echium	ESL	Small	Large	6	1	1	1
Echium	ESL	Small	Large	6	2	1	2
Echium	ESL	Small	Large	6	3	1	3
Echium	ESL	Small	Large	7	1	1	1
Echium	ESL	Small	Large	7	3	1	2
Echium	ESL	Small	Large	8	1	1	3
Echium	ESL	Small	Large	8	2	1	4
Echium	ESL	Small	Large	9	1	1	1
Echium	ESS	Small	Small	1	1	1	1
Echium	ESS	Small	Small	1	2	1	2
Echium	ESS	Small	Small	1	3	1	2
Echium	ESS	Small	Small	2	1	1	3
Echium	ESS	Small	Small	2	2	1	1
Echium	ESS	Small	Small	2	3	1	1
Echium	ESS	Small	Small	3	1	1	2
Echium	ESS	Small	Small	3	2	1	1
Echium	ESS	Small	Small	3	3	1	1
Echium	ESS	Small	Small	3	4	1	3
Echium	ESS	Small	Small	3	5	1	1
Echium	ESS	Small	Small	4	1	1	1
Echium	ESS	Small	Small	4	2	1	4
Echium	ESS	Small	Small	4	3	1	4
Echium	ESS	Small	Small	4	4	1	3
Echium	ESS	Small	Small	4	5	1	4
Echium	ESS	Small	Small	5	1	1	1
Echium	ESS	Small	Small	6	1	1	2
Echium	ESS	Small	Small	6	2	1	2
Echium	ESS	Small	Small	6	3	1	1
Echium	ESS	Small	Small	6	4	1	2
Echium	ESS	Small	Small	7	1	1	3
Echium	ESS	Small	Small	7	2	1	4
Echium	ESS	Small	Small	7	3	1	1
Echium	ESS	Small	Small	7	4	1	3
Echium	ESS	Small	Small	7	5	1	1
Echium	ESS	Small	Small	8	1	1	3
Echium	ESS	Small	Small	8	2	1	1
Echium	ESS	Small	Small	8	3	1	1
Echium	ESS	Small	Small	8	4	1	1
