Treatment	Species	Flowers	Bees	Measurement	Individual	Flower	Grains
ELL	Echium	Large	Large	SVPD	1	E	0
ELL	Echium	Large	Large	SVPD	1	D	0
ELL	Echium	Large	Large	SVPD	2	E	35
ELL	Echium	Large	Large	SVPD	2	D	2
ELL	Echium	Large	Large	SVPD	3	D	0
ELL	Echium	Large	Large	SVPD	3	E	6
ELL	Echium	Large	Large	SVPD	4	D	4
ELL	Echium	Large	Large	SVPD	4	E	8
ELL	Echium	Large	Large	SVPD	5	E	10
ELL	Echium	Large	Large	SVPD	5	D	0
ELL	Echium	Large	Large	SVPD	6	D	0
ELL	Echium	Large	Large	SVPD	6	E	3
ELL	Echium	Large	Large	SVPD	7	E	0
ELL	Echium	Large	Large	SVPD	7	D	0
ELL	Echium	Large	Large	SVPD	8	E	1
ELL	Echium	Large	Large	SVPD	8	D	2
ELL	Echium	Large	Large	SVPD	9	D	13
ELL	Echium	Large	Large	SVPD	9	E	4
ELL	Echium	Large	Large	SVPD	10	E	1
ELL	Echium	Large	Large	SVPD	10	D	1
ELS	Echium	Large	Small	SVPD	1	D	0
ELS	Echium	Large	Small	SVPD	1	E	5
ELS	Echium	Large	Small	SVPD	2	E	2
ELS	Echium	Large	Small	SVPD	2	D	4
ELS	Echium	Large	Small	SVPD	3	E	6
ELS	Echium	Large	Small	SVPD	3	D	0
ELS	Echium	Large	Small	SVPD	4	E	8
ELS	Echium	Large	Small	SVPD	4	D	0
ELS	Echium	Large	Small	SVPD	5	D	21
ELS	Echium	Large	Small	SVPD	5	E	0
ELS	Echium	Large	Small	SVPD	6	E	0
ELS	Echium	Large	Small	SVPD	6	D	3
ELS	Echium	Large	Small	SVPD	7	D	7
ELS	Echium	Large	Small	SVPD	7	E	1
ELS	Echium	Large	Small	SVPD	8	E	23
ELS	Echium	Large	Small	SVPD	8	D	7
ELS	Echium	Large	Small	SVPD	9	D	0
ELS	Echium	Large	Small	SVPD	9	E	10
ELS	Echium	Large	Small	SVPD	10	E	0
ELS	Echium	Large	Small	SVPD	10	D	15
ELL	Echium	Large	Large	Stigma	1	D	5
ELL	Echium	Large	Large	Stigma	1	E	28
ELL	Echium	Large	Large	Stigma	2	E	19
ELL	Echium	Large	Large	Stigma	2	D	18
ELL	Echium	Large	Large	Stigma	3	D	12
ELL	Echium	Large	Large	Stigma	3	E	14
ELL	Echium	Large	Large	Stigma	4	E	13
ELL	Echium	Large	Large	Stigma	4	D	13
ELL	Echium	Large	Large	Stigma	5	D	45
ELL	Echium	Large	Large	Stigma	5	E	12
ELL	Echium	Large	Large	Stigma	6	E	2
ELL	Echium	Large	Large	Stigma	6	D	20
ELL	Echium	Large	Large	Stigma	7	D	22
ELL	Echium	Large	Large	Stigma	7	E	33
ELL	Echium	Large	Large	Stigma	8	E	31
ELL	Echium	Large	Large	Stigma	8	D	26
ELL	Echium	Large	Large	Stigma	9	D	14
ELL	Echium	Large	Large	Stigma	9	E	3
ELL	Echium	Large	Large	Stigma	10	D	11
ELL	Echium	Large	Large	Stigma	10	E	11
ELS	Echium	Large	Small	Stigma	1	E	5
ELS	Echium	Large	Small	Stigma	1	D	26
ELS	Echium	Large	Small	Stigma	2	D	59
ELS	Echium	Large	Small	Stigma	2	E	5
ELS	Echium	Large	Small	Stigma	3	E	22
ELS	Echium	Large	Small	Stigma	3	D	0
ELS	Echium	Large	Small	Stigma	4	D	27
ELS	Echium	Large	Small	Stigma	4	E	17
ELS	Echium	Large	Small	Stigma	5	E	46
ELS	Echium	Large	Small	Stigma	5	D	71
ELS	Echium	Large	Small	Stigma	6	D	4
ELS	Echium	Large	Small	Stigma	6	E	13
ELS	Echium	Large	Small	Stigma	7	E	22
ELS	Echium	Large	Small	Stigma	7	D	28
ELS	Echium	Large	Small	Stigma	8	D	3
ELS	Echium	Large	Small	Stigma	8	E	53
ELS	Echium	Large	Small	Stigma	9	D	0
ELS	Echium	Large	Small	Stigma	9	E	19
ELS	Echium	Large	Small	Stigma	10	E	45
ELS	Echium	Large	Small	Stigma	10	D	3
ESL	Echium	Small	Large	SVPD	1	D	2
ESL	Echium	Small	Large	SVPD	1	E	3
ESL	Echium	Small	Large	SVPD	2	E	1
ESL	Echium	Small	Large	SVPD	2	D	1
ESL	Echium	Small	Large	SVPD	3	D	0
ESL	Echium	Small	Large	SVPD	3	E	0
ESL	Echium	Small	Large	SVPD	4	E	14
ESL	Echium	Small	Large	SVPD	4	D	0
ESL	Echium	Small	Large	SVPD	5	D	2
ESL	Echium	Small	Large	SVPD	5	E	0
ESL	Echium	Small	Large	SVPD	6	E	1
ESL	Echium	Small	Large	SVPD	6	D	0
ESL	Echium	Small	Large	SVPD	7	D	0
ESL	Echium	Small	Large	SVPD	7	E	0
ESL	Echium	Small	Large	SVPD	8	E	1
ESL	Echium	Small	Large	SVPD	8	D	1
ESS	Echium	Small	Small	SVPD	1	D	2
ESS	Echium	Small	Small	SVPD	1	E	0
ESS	Echium	Small	Small	SVPD	2	E	0
ESS	Echium	Small	Small	SVPD	2	D	2
ESS	Echium	Small	Small	SVPD	3	D	0
ESS	Echium	Small	Small	SVPD	3	E	2
ESS	Echium	Small	Small	SVPD	4	E	4
ESS	Echium	Small	Small	SVPD	4	D	0
ESS	Echium	Small	Small	SVPD	5	D	3
ESS	Echium	Small	Small	SVPD	5	E	0
ESS	Echium	Small	Small	SVPD	6	E	3
ESS	Echium	Small	Small	SVPD	6	D	11
ESS	Echium	Small	Small	SVPD	7	D	13
ESS	Echium	Small	Small	SVPD	7	E	0
ESS	Echium	Small	Small	SVPD	8	E	0
ESS	Echium	Small	Small	SVPD	8	D	2
ESS	Echium	Small	Small	SVPD	9	D	1
ESS	Echium	Small	Small	SVPD	9	E	0
ESS	Echium	Small	Small	SVPD	10	E	2
ESS	Echium	Small	Small	SVPD	10	D	0
ESS	Echium	Small	Small	Stigma	1	D	17
ESS	Echium	Small	Small	Stigma	1	E	12
ESS	Echium	Small	Small	Stigma	2	E	0
ESS	Echium	Small	Small	Stigma	2	D	1
ESS	Echium	Small	Small	Stigma	3	D	2
ESS	Echium	Small	Small	Stigma	3	E	7
ESS	Echium	Small	Small	Stigma	4	E	1
ESS	Echium	Small	Small	Stigma	4	D	3
ESS	Echium	Small	Small	Stigma	5	D	0
ESS	Echium	Small	Small	Stigma	5	E	0
ESS	Echium	Small	Small	Stigma	5	E	1
ESS	Echium	Small	Small	Stigma	6	E	3
ESS	Echium	Small	Small	Stigma	6	D	6
ESS	Echium	Small	Small	Stigma	7	D	17
ESS	Echium	Small	Small	Stigma	7	E	0
ESS	Echium	Small	Small	Stigma	8	E	0
ESS	Echium	Small	Small	Stigma	8	D	9
ESS	Echium	Small	Small	Stigma	9	E	1
ESS	Echium	Small	Small	Stigma	9	D	1
ESS	Echium	Small	Small	Stigma	10	D	0
ESS	Echium	Small	Small	Stigma	10	E	1
ESL	Echium	Small	Large	Stigma	1	E	3
ESL	Echium	Small	Large	Stigma	1	D	3
ESL	Echium	Small	Large	Stigma	2	D	0
ESL	Echium	Small	Large	Stigma	2	E	0
ESL	Echium	Small	Large	Stigma	3	E	10
ESL	Echium	Small	Large	Stigma	3	D	10
ESL	Echium	Small	Large	Stigma	4	D	0
ESL	Echium	Small	Large	Stigma	4	E	4
ESL	Echium	Small	Large	Stigma	5	E	1
ESL	Echium	Small	Large	Stigma	5	D	10
ESL	Echium	Small	Large	Stigma	6	D	1
ESL	Echium	Small	Large	Stigma	6	E	2
ESL	Echium	Small	Large	Stigma	7	E	2
ESL	Echium	Small	Large	Stigma	7	D	2
ESL	Echium	Small	Large	Stigma	8	D	2
ESL	Echium	Small	Large	Stigma	8	E	42
ESL	Echium	Small	Large	Stigma	9	E	2
ESL	Echium	Small	Large	Stigma	9	D	2
ESL	Echium	Small	Large	Stigma	10	E	0
ESL	Echium	Small	Large	Stigma	10	D	17
ESS	Echium	Small	Small	OldStigma	1	E	17
ESS	Echium	Small	Small	OldStigma	1	D	0
ESS	Echium	Small	Small	OldStigma	2	D	8
ESS	Echium	Small	Small	OldStigma	2	E	0
ESS	Echium	Small	Small	OldStigma	3	E	36
ESS	Echium	Small	Small	OldStigma	3	D	7
ESS	Echium	Small	Small	OldStigma	4	D	2
ESS	Echium	Small	Small	OldStigma	4	E	7
ESS	Echium	Small	Small	OldStigma	5	E	0
