Date	Treatment	Species	Flowers	Bees	Hour	Bout	Flowers_visited	Total_time	Time_seconds	Flower	Time_flower
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	1	7.93
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	2	3.9
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	3	11.8
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	4	5.2
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	5	3.58
26	ELL	Echium	Large	Large	10:45	1	17	0:03:08	188	6	9.19
26	ELL	Echium	Large	Large	10:45	2	17	0:02:46	166	1	6
26	ELL	Echium	Large	Large	10:45	2	17	0:02:46	166	2	7
26	ELL	Echium	Large	Large	10:45	2	17	0:02:46	166	3	5
26	ELL	Echium	Large	Large	10:45	2	17	0:02:46	166	4	2
26	ELL	Echium	Large	Large	10:45	2	17	0:02:46	166	5	2
26	ELL	Echium	Large	Large	10:45	3	16	0:03:03	183	1	37.1
26	ELL	Echium	Large	Large	10:45	3	16	0:03:03	183	2	14
26	ELL	Echium	Large	Large	10:45	3	16	0:03:03	183	3	0.67
26	ELL	Echium	Large	Large	10:45	3	16	0:03:03	183	4	4.9
26	ELL	Echium	Large	Large	10:45	3	16	0:03:03	183	5	5.1
26	ELL	Echium	Large	Large	10:45	4	4	0:00:43	43	1	3.16
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	1	27.91
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	2	6.76
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	3	7.92
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	4	7.3
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	5	10.65
26	BLL	Borago	Large	Large	10:45	1	7	0:03:14	194	6	4.4
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	1	4
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	2	5
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	3	7
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	4	8
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	5	8
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	6	14
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	7	11
26	BLS	Borago	Large	Small	10:45	1	14	0:03:18	198	8	5
26	BLL	Borago	Large	Large	11:00	2	13	0:02:27	147	1	5.71
26	BLL	Borago	Large	Large	11:00	2	13	0:02:27	147	2	17.99
26	BLL	Borago	Large	Large	11:00	2	13	0:02:27	147	3	9
26	BLL	Borago	Large	Large	11:00	2	13	0:02:27	147	4	6.25
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	1	12
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	2	5
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	3	14
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	4	5
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	5	5
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	6	11
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	7	8
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	8	30
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	9	7
26	BLL	Borago	Large	Large	11:00	3	21	0:07:03	423	10	4
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	1	10
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	2	3
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	3	3
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	4	6
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	5	5
26	BLL	Borago	Large	Large	11:30	4	9	0:02:20	140	6	3
